bintang,komentar
1,Tolong pihak lazada lebih di perhatikan lagi dan lebih diperbaiki lagi. Untuk Harga produk tidak sesuai yang di pasang sebelum chek out misal diaplikasi terpampang harga 7000 setelah inggin chek out menjadi 45ribu tolong lebih di perhatikan lagi🙏🙏
1,barangnya mantap n pengiriman nya tepat waktu makasih.....sukses selalu.....
1,aneh akun saya tidak bisa klaim voucher. selalu ada tulisan v99 trus. tolong bantu dong perbaiki.
1,"Lazada udah gak asik lagi, karena harga di halaman tidak sama dengan harga klw sudah di troli"
1,"Jangan main lazpanen itu sellernya penipu, gak akan dikirim beras hadiahnya, hanya dikirim resi dan kurirnya kurir dari sellernnya langsung, no resi gak jelas, TDK ada tracking pengiriman tau2 dikabarkan sampai, chat cs hanya suruh nunggu 7 hari, itukan otomatis pengiriman dikonfirmasi diterima jadinya, hari gini masih nipu aja, seller lazpanen ya itu tolong dibilangin ya, jng nipuu."
1,Sudah tarik dana pengembalian dan transfer ke Rekening BCA tapi hampir seminggu belum sampai2 juga walaupun cuma 26rb itu sgt berharga buat saya sangat sulit cari uang 26rb skr. Tolong donk konfirmasinya
1,Pengiriman lama bgt. Yg bikin kesel itu ketika kontak lazada yg bales bot. Pelayanannya tolong di tingkatkan lagi.
1,"Kenapa pas mau checkout harganya beda, jadi lebih mahal.. Tolong di perbaiki.."
1,Sorry ya aku kasih bintang satu karena aku punya menyesalan di apk Lazada ini aku pesen ehh pas datang malah beda pesenan kan itu kaya anak buaya gak sesuai dengan pesanan para netizen mohon bantuannya jangan download apk ini soalnya udah banyak yang kena tipu Terimakasih
1,"Apa sih lazada makin sini makin aneh, ongkir naik lebih mahal ada biaya layanan,biaya penangan, segala sekalian masuk masukin biaya lain nyaa supaya gada yang instal lazasa lgi, niat hati pengen chekout lebih murah eh ttep aja mahal,kecewa mending pindah apk sebelah"
1,Gratis ongkir gratis ongkir apa nya . gratis ongkir pembelian diatas 30 ribu pembiayaan pengiriman 20 ribu .ngaco .kupon gratis ongkir potongan harga gak guna.mahal pembiayaan pengiriman.beda sama shopee gratis ongkir bener gratis.biaya pembiayaan kecil bahkan ada yg gak ada .lazada asli penipuan doang ngasih gratis ongkir potongan harga tapi gedee pembiayaan pengiriman setres .nipu !
1,Lazada sekarang mahal... tampilan harga pas pilih barang dan co berbeda... plus tambahan biaya biaya... sedangkan tiktok full gas gratis ongkir lazada malah pull gas biaya layanan walaupun 1k sebenarnya strategi yg betul sekali buat cuan wkwkwk
